QUARTO;GARAGENS;BANHEIROS;AREA;BAIRRO;PRECO
4;2;3;163 a 4126m2;Vitória;1M a 88M
2;2;2;13 a 60m2;Cabula;300K a 450K
1;1;2;13 a 60m2;Campo Grande;0 a 300K
1;1;1;13 a 60m2;Federação;0 a 300K
4;4;5ou+;163 a 4126m2;Horto Florestal;1M a 88M
4;3;5ou+;163 a 4126m2;Horto Florestal;1M a 88M
3;2;1;110 a 163m2;Jardim Apipema;450K a 650K
2;nan;1;13 a 60m2;São Marcos;0 a 300K
2;1;1;13 a 60m2;Pituba;0 a 300K
3;2;2;60 a 80m2;Paralela;300K a 450K
3;nan;2;13 a 60m2;Liberdade;0 a 300K
4;2;3;110 a 163m2;Pituba;450K a 650K
3;3;3;110 a 163m2;Patamares;1M a 88M
2;1;2;80 a 110m2;Pituba;450K a 650K
3;1;2;60 a 80m2;Chame-Chame;300K a 450K
3;1;2;80 a 110m2;Pituba;300K a 450K
2;2;3;80 a 110m2;Ondina;650K a 1M
3;1;3;110 a 163m2;Costa Azul;300K a 450K
1;1;1;80 a 110m2;Armação;300K a 450K
1;1;1;13 a 60m2;Barra;450K a 650K
4;2;4;163 a 4126m2;Pituba;650K a 1M
4;1;4;110 a 163m2;Canela;450K a 650K
3;2;1;110 a 163m2;Graça;650K a 1M
3;nan;2;80 a 110m2;Pituba;300K a 450K
2;2;1;80 a 110m2;Graça;450K a 650K
3;1;3;110 a 163m2;Graça;650K a 1M
1;nan;1;13 a 60m2;Stella Maris;0 a 300K
4;1;2;110 a 163m2;Nazaré;300K a 450K
2;1;2;60 a 80m2;Armação;300K a 450K
4;5ou+;5ou+;163 a 4126m2;Barra;1M a 88M
3;2;2;110 a 163m2;Pituba;450K a 650K
3;2;3;110 a 163m2;Rio Vermelho;0 a 300K
1;nan;1;13 a 60m2;Acupe de Brotas;0 a 300K
1;1;1;13 a 60m2;Pituba;0 a 300K
3;1;3;110 a 163m2;Chame-Chame;300K a 450K
4;3;5ou+;163 a 4126m2;Horto Florestal;1M a 88M
1;1;1;13 a 60m2;Ondina;450K a 650K
2;1;2;13 a 60m2;Matatu;0 a 300K
3;1;2;60 a 80m2;Rio Vermelho;300K a 450K
1;2;3;80 a 110m2;Rio Vermelho;450K a 650K
3;2;3;110 a 163m2;Horto Bela Vista;650K a 1M
3;2;3;110 a 163m2;Patamares;650K a 1M
3;1;1;60 a 80m2;Brotas;0 a 300K
4;2;4;110 a 163m2;Caminho das Árvores;650K a 1M
3;2;2;110 a 163m2;Vitória;1M a 88M
4;3;4;163 a 4126m2;Patamares;650K a 1M
4;4;4;163 a 4126m2;Pituba;1M a 88M
3;2;2;110 a 163m2;Patamares;650K a 1M
4;3;5ou+;163 a 4126m2;Graça;1M a 88M
3;2;3;60 a 80m2;Armação;450K a 650K
2;2;4;80 a 110m2;Costa Azul;300K a 450K
3;1;3;110 a 163m2;Pituba;450K a 650K
1;1;1;13 a 60m2;Federação;0 a 300K
5ou+;3;3;163 a 4126m2;Vitória;1M a 88M
3;4;5ou+;110 a 163m2;Barra;1M a 88M
3;1;3;60 a 80m2;Costa Azul;300K a 450K
2;1;2;13 a 60m2;Imbuí;450K a 650K
