;QUARTO_INFOS;GARAGEM_INFOS;BANHEIROS_INFOS;AREA_SEGMENTADA;BAIRRO;FAIXA_PRECOS
1603;2 quartos;1 vaga de garagem;2 banheiros;(12.999, 60.0];Imbuí;(450000.0, 650000.0]
1604;3 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Cabula;(450000.0, 650000.0]
1605;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Pituba;(-0.001, 300000.0]
1606;3 quartos;1 vaga de garagem;2 banheiros;(110.0, 163.0];Patamares;(650000.0, 1140000.0]
1607;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Caminho das Árvores;(300000.0, 450000.0]
1608;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Pituba;(-0.001, 300000.0]
1609;3 quartos;1 vaga de garagem;2 banheiros;(80.0, 110.0];Imbuí;(300000.0, 450000.0]
1610;2 quartos;;1 banheiro;(12.999, 60.0];Cabula;(-0.001, 300000.0]
1611;3 quartos;2 vagas de garagem;2 banheiros;(80.0, 110.0];Imbuí;(650000.0, 1140000.0]
1612;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Pituba;(-0.001, 300000.0]
1613;2 quartos;1 vaga de garagem;2 banheiros;(12.999, 60.0];Imbuí;(450000.0, 650000.0]
1614;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Pituba;(-0.001, 300000.0]
1615;3 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Pernambués;(-0.001, 300000.0]
1616;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Caminho das Árvores;(300000.0, 450000.0]
1617;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Caminho das Árvores;(300000.0, 450000.0]
1618;1 quarto;2 vagas de garagem;3 banheiros;(110.0, 163.0];Costa Azul;(450000.0, 650000.0]
1619;3 quartos;;2 banheiros;(60.0, 80.0];Acupe de Brotas;(-0.001, 300000.0]
1620;1 quarto;1 vaga de garagem;1 banheiro;(60.0, 80.0];Barra;(300000.0, 450000.0]
1621;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Barra;(450000.0, 650000.0]
1622;4 quartos;4 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Horto Florestal;(1140000.0, 88000000.0]
1623;2 quartos;1 vaga de garagem;1 banheiro;(12.999, 60.0];Candeal;(-0.001, 300000.0]
1624;3 quartos;2 vagas de garagem;2 banheiros;(110.0, 163.0];Garcia;(650000.0, 1140000.0]
1625;4 quartos;2 vagas de garagem;3 banheiros;(80.0, 110.0];Imbuí;(300000.0, 450000.0]
1626;3 quartos;2 vagas de garagem;3 banheiros;(80.0, 110.0];Costa Azul;(450000.0, 650000.0]
1627;3 quartos;2 vagas de garagem;3 banheiros;(60.0, 80.0];Patamares;(450000.0, 650000.0]
1628;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Armação;(300000.0, 450000.0]
1629;3 quartos;3 vagas de garagem;4 banheiros;(110.0, 163.0];Alphaville I;(650000.0, 1140000.0]
1630;2 quartos;1 vaga de garagem;2 banheiros;(80.0, 110.0];Graça;(300000.0, 450000.0]
1631;2 quartos;2 vagas de garagem;1 banheiro;(12.999, 60.0];Jaguaribe;(300000.0, 450000.0]
1632;2 quartos;2 vagas de garagem;2 banheiros;(60.0, 80.0];Stella Maris;(450000.0, 650000.0]
1633;2 quartos;2 vagas de garagem;3 banheiros;(60.0, 80.0];Armação;(450000.0, 650000.0]
1634;3 quartos;1 vaga de garagem;3 banheiros;(60.0, 80.0];Patamares;(450000.0, 650000.0]
1635;3 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Armação;(300000.0, 450000.0]
1636;5 ou mais quartos;5 ou mais vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Caminho das Árvores;(1140000.0, 88000000.0]
1637;3 quartos;2 vagas de garagem;3 banheiros;(110.0, 163.0];Patamares;(1140000.0, 88000000.0]
1638;3 quartos;;3 banheiros;(80.0, 110.0];Graça;(-0.001, 300000.0]
1639;3 quartos;1 vaga de garagem;3 banheiros;(80.0, 110.0];Pituba;(300000.0, 450000.0]
1640;4 quartos;4 vagas de garagem;2 banheiros;(163.0, 4126.0];Barra;(650000.0, 1140000.0]
1641;4 quartos;5 ou mais vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Rio Vermelho;(1140000.0, 88000000.0]
1642;3 quartos;2 vagas de garagem;3 banheiros;(80.0, 110.0];Pituba;(450000.0, 650000.0]
1643;2 quartos;;1 banheiro;(12.999, 60.0];Resgate;(-0.001, 300000.0]
1644;2 quartos;1 vaga de garagem;2 banheiros;(12.999, 60.0];Acupe de Brotas;(300000.0, 450000.0]
1645;2 quartos;2 vagas de garagem;2 banheiros;(60.0, 80.0];Imbuí;(300000.0, 450000.0]
1646;3 quartos;3 vagas de garagem;4 banheiros;(163.0, 4126.0];Patamares;(1140000.0, 88000000.0]
1647;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Pituba;(-0.001, 300000.0]
1648;3 quartos;2 vagas de garagem;4 banheiros;(110.0, 163.0];Alphaville I;(1140000.0, 88000000.0]
1649;4 quartos;4 vagas de garagem;4 banheiros;(163.0, 4126.0];Vitória;(1140000.0, 88000000.0]
1650;2 quartos;;2 banheiros;(80.0, 110.0];Garcia;(300000.0, 450000.0]
1651;2 quartos;1 vaga de garagem;3 banheiros;(80.0, 110.0];Rio Vermelho;(300000.0, 450000.0]
1652;2 quartos;2 vagas de garagem;2 banheiros;(60.0, 80.0];Itapuã;(650000.0, 1140000.0]
1653;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Barra;(450000.0, 650000.0]
1654;2 quartos;1 vaga de garagem;1 banheiro;(12.999, 60.0];Piatã;(-0.001, 300000.0]
1655;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Imbuí;(300000.0, 450000.0]
1656;3 quartos;1 vaga de garagem;3 banheiros;(80.0, 110.0];Stiep;(450000.0, 650000.0]
1657;2 quartos;2 vagas de garagem;3 banheiros;(80.0, 110.0];Horto Florestal;(650000.0, 1140000.0]
1658;3 quartos;1 vaga de garagem;4 banheiros;(80.0, 110.0];Canela;(650000.0, 1140000.0]
1659;3 quartos;1 vaga de garagem;3 banheiros;(110.0, 163.0];Nazaré;(-0.001, 300000.0]
1660;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Caminho das Árvores;(300000.0, 450000.0]
1661;4 quartos;3 vagas de garagem;5 ou mais banheiros;(110.0, 163.0];Armação;(650000.0, 1140000.0]
1662;2 quartos;1 vaga de garagem;3 banheiros;(60.0, 80.0];Canela;(450000.0, 650000.0]
1663;4 quartos;4 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Horto Florestal;(1140000.0, 88000000.0]
1664;2 quartos;1 vaga de garagem;2 banheiros;(12.999, 60.0];Candeal;(-0.001, 300000.0]
1665;4 quartos;1 vaga de garagem;4 banheiros;(163.0, 4126.0];Horto Florestal;(1140000.0, 88000000.0]
1666;3 quartos;1 vaga de garagem;2 banheiros;(110.0, 163.0];Nazaré;(-0.001, 300000.0]
1667;2 quartos;2 vagas de garagem;2 banheiros;(60.0, 80.0];Boca do Rio;(450000.0, 650000.0]
1668;3 quartos;2 vagas de garagem;4 banheiros;(110.0, 163.0];Pituba;(650000.0, 1140000.0]
1669;4 quartos;1 vaga de garagem;4 banheiros;(110.0, 163.0];Graça;(300000.0, 450000.0]
1670;2 quartos;1 vaga de garagem;1 banheiro;(12.999, 60.0];Caminho das Árvores;(450000.0, 650000.0]
1671;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Pituba;(-0.001, 300000.0]
1672;2 quartos;;2 banheiros;(80.0, 110.0];Roma;(-0.001, 300000.0]
1673;3 quartos;2 vagas de garagem;3 banheiros;(110.0, 163.0];Pituba;(650000.0, 1140000.0]
1674;2 quartos;;1 banheiro;(12.999, 60.0];Pau da Lima;(-0.001, 300000.0]
1675;3 quartos;2 vagas de garagem;2 banheiros;(60.0, 80.0];Patamares;(450000.0, 650000.0]
1676;2 quartos;2 vagas de garagem;2 banheiros;(60.0, 80.0];Armação;(450000.0, 650000.0]
